name,num_features,features,model_path,metadata_path,oos_brier,oos_logloss,oos_auc,backtest_pnl_total,backtest_pnl_avg,backtest_hit_rate_proxy,backtest_brier,backtest_logloss
lean_core,3,"strike_distance_pct,abs_strike_distance_pct,day_7_trend",/Users/jacobferraiolo/kalshi/src/data/models/ablation/tsa_yes_probability_model_lean_core.joblib,/Users/jacobferraiolo/kalshi/src/data/models/ablation/tsa_yes_probability_model_lean_core.metadata.json,0.07002026840115998,0.23989203694470074,0.9617953651322403,,,,,
lean_plus_strike_level,4,"strike_distance_pct,abs_strike_distance_pct,day_7_trend,floor_strike_millions",/Users/jacobferraiolo/kalshi/src/data/models/ablation/tsa_yes_probability_model_lean_plus_strike_level.joblib,/Users/jacobferraiolo/kalshi/src/data/models/ablation/tsa_yes_probability_model_lean_plus_strike_level.metadata.json,0.08566771085272051,0.28906812844164115,0.9465583091634839,,,,,
lean_plus_last_year,4,"strike_distance_pct,abs_strike_distance_pct,day_7_trend,last_year_passengers",/Users/jacobferraiolo/kalshi/src/data/models/ablation/tsa_yes_probability_model_lean_plus_last_year.joblib,/Users/jacobferraiolo/kalshi/src/data/models/ablation/tsa_yes_probability_model_lean_plus_last_year.metadata.json,0.08783704677129335,0.3020478469822297,0.9406579942375249,,,,,
no_composite_yoy,6,"floor_strike_millions,strike_distance_pct,abs_strike_distance_pct,day_1_trend,day_7_trend,last_year_passengers",/Users/jacobferraiolo/kalshi/src/data/models/ablation/tsa_yes_probability_model_no_composite_yoy.joblib,/Users/jacobferraiolo/kalshi/src/data/models/ablation/tsa_yes_probability_model_no_composite_yoy.metadata.json,0.09023104927689261,0.3424358837435568,0.9364950368051767,,,,,
full,8,"floor_strike_millions,strike_distance_pct,abs_strike_distance_pct,days_until_sunday,day_1_trend,day_7_trend,yoy_adjustment,last_year_passengers",/Users/jacobferraiolo/kalshi/src/data/models/ablation/tsa_yes_probability_model_full.joblib,/Users/jacobferraiolo/kalshi/src/data/models/ablation/tsa_yes_probability_model_full.metadata.json,0.09068092198526233,0.3436600450101249,0.9362968919009467,,,,,
without_days_until_sunday,7,"floor_strike_millions,strike_distance_pct,abs_strike_distance_pct,day_1_trend,day_7_trend,yoy_adjustment,last_year_passengers",/Users/jacobferraiolo/kalshi/src/data/models/ablation/tsa_yes_probability_model_without_days_until_sunday.joblib,/Users/jacobferraiolo/kalshi/src/data/models/ablation/tsa_yes_probability_model_without_days_until_sunday.metadata.json,0.09068092198526245,0.3436600450101173,0.9362968919009467,,,,,
